"country","rating","name","count_of_rents","amount_made"
"India","PG","Sci-Fi","17","71.83"
"Greece","R","Music","1","4.99"
"Egypt","PG-13","Foreign","4","19.96"
"Belarus","PG-13","Travel","1","2.99"
"Canada","R","Children","1","2.99"
"India","G","Drama","17","96.83"
"Vietnam","NC-17","Family","3","18.97"
"Yemen","G","Games","1","4.99"
"Greece","PG-13","Foreign","1","0.99"
"Hungary","G","Sci-Fi","2","1.98"
"New Zealand","PG","Sci-Fi","1","4.99"
"Argentina","NC-17","Sci-Fi","3","11.97"
"Romania","NC-17","Family","1","1.99"
"French Polynesia","NC-17","Classics","2","2.98"
"Peru","PG","Animation","2","10.98"
"Poland","NC-17","Foreign","3","5.97"
"France","R","Family","1","0.99"
"Switzerland","PG-13","Animation","1","8.99"
"Philippines","G","Comedy","7","31.93"
"India","NC-17","Games","22","80.78"
"Senegal","R","New","1","4.99"
"Virgin Islands, U.S.","NC-17","New","1","4.99"
"United Kingdom","G","Family","2","15.98"
"Japan","PG-13","Sports","11","58.88"
"Dominican Republic","PG-13","Drama","3","22.97"
"Ecuador","NC-17","Music","2","9.98"
"Finland","NC-17","New","1","0.99"
"Colombia","G","Children","3","9.97"
"Bolivia","G","Classics","1","2.99"
"Spain","R","Children","1","4.99"
"Indonesia","NC-17","Children","8","25.92"
"Venezuela","R","Horror","5","24.95"
"Mozambique","NC-17","Family","1","6.99"
"United Arab Emirates","G","Travel","1","4.99"
"Greenland","PG","Games","1","9.99"
"Bolivia","G","Documentary","1","1.99"
"Afghanistan","G","New","1","6.99"
"Peru","G","Foreign","1","5.99"
"Anguilla","G","Sci-Fi","2","5.98"
"Myanmar","NC-17","Action","1","0.99"
"South Korea","NC-17","Family","1","3.99"
"Nepal","PG-13","Travel","2","6.98"
"Iran","PG","Horror","4","20.96"
"United States","R","Family","19","64.81"
"Thailand","NC-17","Sci-Fi","1","4.99"
"Greece","NC-17","Action","1","2.99"
"Cameroon","PG","Action","1","0.99"
"Spain","NC-17","New","2","11.98"
"Taiwan","NC-17","Horror","1","3.99"
"United States","R","Drama","7","28.93"
"Angola","G","Comedy","1","4.99"
"Netherlands","PG-13","Games","2","9.98"
"Thailand","R","New","1","0.99"
"Thailand","R","Comedy","2","14.98"
"Venezuela","NC-17","Action","1","0.99"
"Algeria","PG","Sci-Fi","1","2.99"
"Tonga","PG-13","Family","1","3.99"
"Nigeria","R","Comedy","3","16.97"
"Greece","PG-13","Travel","2","8.98"
"Canada","NC-17","Action","1","0.99"
"Sudan","PG-13","Drama","3","6.97"
"Tunisia","PG","Documentary","1","2.99"
"Brazil","R","Children","13","58.87"
"Malawi","PG","Documentary","1","1.99"
"Iran","PG-13","Comedy","1","10.99"
"Tanzania","PG","Family","2","6.98"
"Russian Federation","R","Classics","9","51.91"
"Turkmenistan","R","Action","1","2.99"
"Malawi","PG-13","Sports","1","8.99"
"Brazil","PG-13","Music","7","20.93"
"United Kingdom","R","Horror","1","7.99"
"Yugoslavia","G","Sports","2","8.98"
"French Guiana","G","Animation","1","4.99"
"Vietnam","R","Comedy","2","13.98"
"Turkey","G","Classics","3","13.97"
"Switzerland","PG-13","Comedy","1","7.99"
"Thailand","NC-17","Drama","1","4.99"
"India","R","Drama","8","24.92"
"Slovakia","PG","Games","1","0.99"
"United Kingdom","PG","Action","4","12.96"
"Colombia","PG-13","Comedy","1","4.99"
"Mexico","NC-17","Animation","10","46.90"
"Brunei","PG-13","Classics","1","0.99"
"Morocco","R","Action","3","12.97"
"Bolivia","NC-17","Family","1","4.99"
"Israel","NC-17","Drama","1","7.99"
"Russian Federation","NC-17","Comedy","4","18.96"
"Ecuador","R","Family","2","2.98"
"Brazil","PG","Sports","9","48.91"
"Dominican Republic","G","Foreign","2","7.98"
"Saint Vincent and the Grenadines","PG-13","Documentary","1","0.99"
"Brunei","NC-17","Documentary","1","4.99"
"Myanmar","PG","Comedy","3","10.97"
"Tanzania","PG-13","Animation","2","15.98"
"Austria","R","Documentary","1","4.99"
"Gambia","PG-13","Games","1","0.99"
"Mozambique","PG","Sci-Fi","1","4.99"
"Colombia","PG-13","Documentary","2","7.98"
"Hong Kong","R","Sports","1","0.99"
"Chile","NC-17","Children","1","0.99"
"Bahrain","R","Foreign","1","4.99"
"Hungary","G","Travel","1","3.99"
"Tanzania","R","Classics","1","6.99"
"Czech Republic","PG-13","Travel","1","3.99"
"Poland","G","Sports","6","44.94"
"Turkmenistan","PG-13","Action","1","2.99"
"United Arab Emirates","NC-17","New","2","8.98"
"Paraguay","G","Animation","1","2.99"
"Austria","NC-17","Family","1","4.99"
"Faroe Islands","NC-17","Comedy","1","5.99"
"Netherlands","R","Music","1","2.99"
"China","PG","Animation","19","71.81"
"South Africa","G","Comedy","3","13.97"
"Virgin Islands, U.S.","PG","Classics","1","2.99"
"Thailand","PG","Horror","4","22.96"
"Japan","PG-13","Foreign","11","43.89"
"India","PG-13","Children","21","107.79"
"Latvia","G","Sci-Fi","1","9.99"
"Belarus","NC-17","Drama","1","2.99"
"Iran","PG-13","Animation","2","11.98"
"Mozambique","PG","Drama","1","0.99"
"Armenia","PG","Comedy","1","4.99"
"Taiwan","NC-17","Family","6","21.94"
"Holy See (Vatican City State)","G","Documentary","1","4.99"
"Argentina","NC-17","Family","3","7.97"
"China","PG","Foreign","12","28.88"
"Taiwan","G","New","5","24.95"
"Argentina","PG-13","Foreign","5","24.95"
"Taiwan","PG","Documentary","5","28.95"
"Japan","NC-17","New","15","74.85"
"Hungary","R","New","1","7.99"
"Switzerland","R","Family","3","9.97"
"Romania","NC-17","Foreign","1","3.99"
"Hungary","NC-17","Games","1","6.99"
"Philippines","PG","Drama","3","15.97"
"Greenland","R","Classics","2","6.98"
"Saint Vincent and the Grenadines","PG","Music","1","0.99"
"Philippines","G","Travel","7","32.93"
"United Kingdom","PG","Travel","6","24.94"
"Egypt","R","Documentary","1","9.99"
"Netherlands","G","Family","1","2.99"
"Morocco","NC-17","Children","1","4.99"
"Oman","G","Games","1","4.99"
"Moldova","PG-13","Foreign","2","6.98"
"Russian Federation","PG-13","Sci-Fi","7","33.93"
"Nigeria","PG-13","Family","4","23.96"
"Pakistan","R","Action","2","10.98"
"Poland","NC-17","Documentary","1","2.99"
"Austria","R","New","1","1.99"
"Peru","G","Documentary","1","4.99"
"Hungary","NC-17","Sci-Fi","1","8.99"
"Algeria","G","Children","2","5.98"
"Israel","R","Animation","1","4.99"
"Anguilla","R","Documentary","1","0.99"
"Netherlands","PG-13","Sports","3","13.97"
"Azerbaijan","PG","Sci-Fi","1","2.99"
"Brunei","NC-17","Family","1","4.99"
"Germany","R","Family","6","22.94"
"Thailand","NC-17","Children","1","2.99"
"Runion","R","New","2","12.98"
"Ethiopia","NC-17","Sci-Fi","1","5.99"
"Sudan","PG","Music","4","11.96"
"Philippines","NC-17","Children","8","24.92"
"Ukraine","NC-17","New","3","14.97"
"Holy See (Vatican City State)","R","Documentary","1","1.99"
"Tanzania","PG","Music","1","4.99"
"Thailand","G","Games","1","2.99"
"Poland","NC-17","New","5","21.95"
"Puerto Rico","PG-13","Family","2","9.98"
"Argentina","NC-17","Classics","2","12.98"
"Hong Kong","R","Games","1","5.99"
"Belarus","PG-13","Sports","2","9.98"
"Azerbaijan","NC-17","Comedy","1","4.99"
"North Korea","PG","Documentary","2","5.98"
"Italy","PG","Sci-Fi","4","25.96"
"Iran","NC-17","Games","4","15.96"
"Vietnam","PG-13","Music","1","4.99"
"Saudi Arabia","G","Documentary","1","0.99"
"United States","G","Sci-Fi","5","16.95"
"Cameroon","G","Foreign","1","4.99"
"United Kingdom","NC-17","Action","2","2.98"
"South Africa","G","Documentary","4","12.96"
"United States","NC-17","Music","19","69.81"
"Russian Federation","PG","Classics","9","42.91"
"Switzerland","PG-13","Music","1","3.99"
"Greece","PG","Travel","1","4.99"
"Peru","PG-13","Classics","2","8.98"
"Hong Kong","G","Classics","1","0.99"
"Sweden","G","Foreign","1","2.99"
"Zambia","NC-17","Children","1","4.99"
"Oman","G","Sports","1","4.99"
"Anguilla","R","Family","1","2.99"
"Nigeria","R","Documentary","5","22.95"
"Tanzania","PG","Sci-Fi","1","4.99"
"India","R","Travel","13","54.87"
"Indonesia","R","Classics","5","5.95"
"Nigeria","NC-17","Drama","3","15.97"
"Argentina","PG-13","Sports","9","42.91"
"Italy","PG-13","Sports","3","17.97"
"Moldova","G","Children","1","2.99"
"Iran","PG-13","Action","1","6.99"
"Germany","PG","Action","1","4.99"
"Japan","PG-13","Horror","10","56.90"
"Morocco","R","Comedy","2","8.98"
"Pakistan","PG-13","New","3","10.97"
"Iran","R","Family","3","10.97"
"Brazil","R","Games","9","55.91"
"Dominican Republic","PG-13","Comedy","2","7.98"
"Tunisia","PG-13","New","1","0.99"
"Indonesia","G","Sci-Fi","5","15.95"
"Philippines","PG","Animation","13","50.87"
"Turkmenistan","NC-17","Games","2","12.98"
"Poland","PG","Action","2","10.98"
"Netherlands","PG-13","Documentary","1","9.99"
"Thailand","PG","Family","2","11.98"
"Brazil","G","Comedy","11","56.89"
"Turkmenistan","NC-17","Drama","1","4.99"
"Brunei","R","New","1","2.99"
"Netherlands","R","New","1","0.99"
"Mexico","G","Documentary","13","41.87"
"Germany","R","Music","1","4.99"
"United Arab Emirates","PG","Sci-Fi","1","4.99"
"Tuvalu","R","Music","2","14.98"
"Indonesia","PG-13","New","7","39.93"
"Japan","R","Documentary","8","28.92"
"India","PG","Music","10","42.90"
"Ecuador","NC-17","Children","1","3.99"
"Venezuela","R","Animation","4","10.96"
"Liechtenstein","PG","Comedy","1","0.99"
"Myanmar","R","Travel","1","8.99"
"Iran","G","Games","2","3.98"
"Turkey","R","Animation","4","15.96"
"Cambodia","NC-17","Sci-Fi","1","2.99"
"United Kingdom","R","Games","4","21.96"
"Estonia","NC-17","Foreign","1","7.99"
"Switzerland","PG","Foreign","1","2.99"
"Puerto Rico","G","Children","1","5.99"
"Egypt","R","Games","1","4.99"
"Spain","PG","Comedy","6","23.94"
"Gambia","PG-13","Classics","1","5.99"
"Colombia","NC-17","Sports","3","17.97"
"United Kingdom","NC-17","Sports","3","14.97"
"Finland","PG","Sports","2","6.98"
"Egypt","G","Children","1","4.99"
"Hong Kong","NC-17","Drama","1","7.99"
"United Kingdom","PG","Animation","1","2.99"
"Philippines","R","Games","5","29.95"
"Philippines","PG-13","Horror","6","28.94"
"South Korea","G","Music","2","4.98"
"Nigeria","G","Classics","2","5.98"
"United States","NC-17","Drama","17","82.83"
"Chad","PG-13","Foreign","2","10.98"
"Germany","PG","Travel","3","6.97"
"Sri Lanka","G","Classics","1","2.99"
"Indonesia","G","Comedy","2","5.98"
"Switzerland","NC-17","Documentary","2","11.98"
"Canada","G","Sci-Fi","2","5.98"
"Saudi Arabia","NC-17","New","2","12.98"
"United Kingdom","PG","Classics","1","0.99"
"United States","PG-13","Documentary","9","52.91"
"Greece","PG","Documentary","1","1.99"
"Nigeria","NC-17","Documentary","3","4.97"
"Estonia","NC-17","Sports","1","4.99"
"Kenya","R","Family","1","2.99"
"Israel","PG-13","Classics","3","14.97"
"Egypt","PG","Foreign","2","5.98"
"Canada","G","Action","4","11.96"
"South Korea","PG-13","Sci-Fi","3","16.97"
"Ukraine","R","Drama","2","6.98"
"Malaysia","R","Travel","1","1.99"
"Thailand","NC-17","Foreign","1","2.99"
"Malawi","R","Classics","1","3.99"
"Anguilla","R","Games","1","0.99"
"Japan","R","Action","8","30.92"
"India","PG-13","Drama","34","163.65"
"Afghanistan","PG","Drama","1","6.99"
"French Guiana","R","Action","1","4.99"
"Sudan","R","Sports","1","0.99"
"Egypt","PG","Animation","3","13.97"
"French Polynesia","PG","Comedy","1","4.99"
"Colombia","PG","Music","2","7.98"
"Peru","R","Family","2","5.98"
"Germany","PG-13","Comedy","1","3.99"
"Belarus","R","Travel","1","2.99"
"Germany","PG","Children","1","6.99"
"Algeria","PG","Family","3","15.97"
"India","NC-17","Family","18","71.82"
"Chile","G","Animation","1","5.99"
"Holy See (Vatican City State)","PG","Sports","1","3.99"
"Ethiopia","PG","Family","1","4.99"
"Morocco","PG","Games","1","1.99"
"China","NC-17","Horror","2","5.98"
"Argentina","G","New","2","9.98"
"Colombia","G","Travel","1","5.99"
"Romania","PG-13","Sports","1","4.99"
"Moldova","PG","Drama","1","5.99"
"Poland","R","New","1","2.99"
"Russian Federation","R","Music","7","31.93"
"Yemen","PG","Sports","5","27.95"
"Turkey","NC-17","Sports","1","2.99"
"Romania","NC-17","New","1","0.99"
"Philippines","R","Documentary","8","38.92"
"Cambodia","R","Travel","1","2.99"
"South Africa","NC-17","New","3","10.97"
"Egypt","NC-17","Sci-Fi","2","11.98"
"Philippines","PG-13","Sci-Fi","8","40.92"
"Iraq","PG-13","Horror","1","3.99"
"Brazil","G","New","12","61.88"
"Faroe Islands","PG","Sci-Fi","1","8.99"
"Ecuador","NC-17","Games","2","8.98"
"French Polynesia","NC-17","Family","1","0.99"
"Tunisia","R","Animation","2","1.98"
"Senegal","G","Family","1","2.99"
"Brazil","G","Sci-Fi","13","35.87"
"Brazil","PG","Travel","12","54.88"
"Venezuela","NC-17","Music","3","12.97"
"Zambia","G","Comedy","1","0.99"
"Turkey","NC-17","Sci-Fi","2","7.98"
"Ukraine","NC-17","Children","1","8.99"
"Yugoslavia","R","Classics","1","6.99"
"Russian Federation","R","Games","10","41.90"
"Poland","PG-13","Sports","4","16.96"
"South Korea","NC-17","Horror","2","10.98"
"Russian Federation","NC-17","Documentary","8","39.92"
"Indonesia","NC-17","Animation","5","9.95"
"Venezuela","G","Animation","4","13.96"
"Thailand","G","Classics","2","4.98"
"Bangladesh","PG-13","Drama","1","0.99"
"Egypt","PG","Action","5","23.95"
"Moldova","PG","Comedy","1","4.99"
"Egypt","NC-17","Travel","2","7.98"
"Armenia","PG","Sci-Fi","1","6.99"
"France","PG-13","Horror","2","3.98"
"Mexico","G","Children","7","20.93"
"Brunei","PG-13","Drama","2","5.98"
"United Kingdom","G","Games","1","10.99"
"Brazil","G","Foreign","3","6.97"
"Saudi Arabia","PG-13","Horror","3","20.97"
"United States","R","Horror","16","91.84"
"Italy","R","Travel","3","13.97"
"Saint Vincent and the Grenadines","R","Horror","1","7.99"
"Nigeria","PG-13","Music","1","0.99"
"Malawi","G","Comedy","1","0.99"
"Cameroon","R","Documentary","1","4.99"
"Puerto Rico","R","Sports","3","16.97"
"Tonga","NC-17","Sports","1","5.99"
"Romania","NC-17","Classics","3","12.97"
"Finland","PG-13","Animation","1","6.99"
"Anguilla","PG-13","Children","2","3.98"
"Slovakia","NC-17","Documentary","1","1.99"
"Mexico","PG","Foreign","11","46.89"
"Egypt","G","Action","1","0.99"
"Italy","NC-17","Sci-Fi","1","4.99"
"Paraguay","G","Action","1","4.99"
"Congo, The Democratic Republic of the","NC-17","Sports","1","5.99"
"Estonia","PG","Documentary","1","2.99"
"Vietnam","R","Family","4","13.96"
"Paraguay","R","Family","1","8.99"
"Taiwan","G","Travel","1","2.99"
"Virgin Islands, U.S.","PG","Drama","1","2.99"
"United States","PG-13","Travel","8","35.92"
"Hungary","R","Sports","1","2.99"
"China","G","Horror","11","45.89"
"Malaysia","PG","Documentary","2","5.98"
"India","PG","Horror","18","73.82"
"Tanzania","G","Travel","2","8.98"
"Vietnam","G","Sci-Fi","3","11.97"
"Argentina","R","Comedy","8","36.92"
"Myanmar","R","Action","1","2.99"
"Saudi Arabia","G","Animation","3","6.97"
"Egypt","PG-13","Drama","4","22.96"
"Spain","PG-13","Documentary","1","4.99"
"Belarus","PG","Documentary","1","2.99"
"Chile","R","Action","3","12.97"
"Tuvalu","NC-17","Sports","2","8.98"
"Sri Lanka","R","Games","1","2.99"
"United States","G","Classics","9","33.91"
"French Polynesia","R","Sci-Fi","1","3.99"
"Vietnam","PG","Family","2","3.98"
"Mozambique","PG","Family","1","4.99"
"Nepal","R","Drama","1","4.99"
"Algeria","NC-17","Comedy","3","26.97"
"Cameroon","PG","Children","1","2.99"
"Germany","NC-17","Action","3","4.97"
"New Zealand","PG-13","Foreign","1","4.99"
"Argentina","NC-17","Horror","1","3.99"
"Runion","PG-13","Action","1","10.99"
"Malaysia","NC-17","Travel","3","16.97"
"Nigeria","PG","Documentary","8","40.92"
"Ukraine","PG","Horror","1","0.99"
"Oman","G","Drama","3","12.97"
"Bangladesh","NC-17","Travel","2","9.98"
"Sudan","NC-17","Foreign","1","4.99"
"United States","NC-17","Action","3","10.97"
"South Korea","PG-13","Animation","2","10.98"
"Nauru","PG","Sci-Fi","1","4.99"
"Latvia","PG","Animation","1","5.99"
"Cambodia","G","Family","1","2.99"
"Austria","G","Animation","1","0.99"
"Indonesia","G","Foreign","3","8.97"
"Cambodia","PG-13","Sports","1","8.99"
"Chile","G","Games","1","0.99"
"American Samoa","PG","Travel","1","3.99"
"Hungary","PG","Family","2","4.98"
"Ukraine","R","Foreign","3","8.97"
"Yemen","R","Children","1","8.99"
"Bangladesh","G","Animation","2","7.98"
"Turkmenistan","G","Classics","1","3.99"
"Lithuania","PG-13","Drama","1","6.99"
"Slovakia","NC-17","Family","1","2.99"
"Poland","PG","Travel","3","16.97"
"Afghanistan","NC-17","Classics","2","12.98"
"Belarus","PG-13","Comedy","1","0.99"
"Indonesia","R","Family","6","13.94"
"Spain","NC-17","Drama","2","12.98"
"Slovakia","PG-13","Animation","1","0.99"
"Russian Federation","R","Action","8","39.92"
"Iraq","PG","Family","1","4.99"
"Greenland","PG-13","Games","2","9.98"
"Mexico","NC-17","Drama","13","60.87"
"India","NC-17","Travel","11","44.89"
"Netherlands","PG-13","Travel","4","14.96"
"Turkmenistan","NC-17","Family","1","2.99"
"Turkey","PG-13","Games","1","4.99"
"Bolivia","NC-17","New","2","10.98"
"United Arab Emirates","PG-13","Action","1","5.99"
"American Samoa","NC-17","Sports","1","2.99"
"Turkmenistan","PG","Animation","1","3.99"
"Chile","PG","Foreign","3","10.97"
"South Korea","NC-17","Foreign","3","8.97"
"French Guiana","NC-17","Travel","1","7.99"
"Nigeria","G","Action","4","17.96"
"Paraguay","PG","Children","1","2.99"
"Argentina","G","Sports","1","0.99"
"China","R","Action","23","77.77"
"French Polynesia","PG-13","Family","1","0.99"
"Japan","PG-13","Drama","18","79.82"
"Pakistan","G","Children","1","2.99"
"Peru","NC-17","Animation","1","4.99"
"Vietnam","PG-13","Horror","4","13.96"
"Kazakstan","PG","Music","2","2.98"
"Russian Federation","G","Music","1","5.99"
"India","G","New","17","84.83"
"Netherlands","PG-13","Children","2","3.98"
"Spain","PG-13","Family","2","8.98"
"Yugoslavia","G","Drama","1","8.99"
"Kazakstan","NC-17","Music","1","1.99"
"Belarus","G","Sci-Fi","1","0.99"
"Philippines","PG-13","Foreign","17","73.83"
"South Korea","R","Animation","1","0.99"
"Latvia","PG-13","Animation","2","3.98"
"Mexico","PG-13","Foreign","21","83.79"
"United Arab Emirates","R","Sci-Fi","4","10.96"
"Peru","PG-13","Children","2","5.98"
"Venezuela","PG-13","Animation","2","6.98"
"United Arab Emirates","PG-13","Games","3","12.97"
"Algeria","PG-13","Drama","1","0.99"
"Pakistan","G","Sports","3","12.97"
"Kazakstan","NC-17","Documentary","2","2.98"
"Yemen","PG","Children","3","12.97"
"South Korea","G","Sports","2","9.98"
"Greece","G","Classics","1","0.99"
"Madagascar","NC-17","Games","1","4.99"
"Malaysia","PG","Travel","1","2.99"
"Myanmar","PG","Action","1","0.99"
"Vietnam","NC-17","Drama","4","18.96"
"New Zealand","R","Action","1","3.99"
"Runion","NC-17","Drama","1","3.99"
"Yugoslavia","PG","Drama","1","4.99"
"Venezuela","R","Sports","1","7.99"
"Venezuela","PG-13","Family","2","5.98"
"French Guiana","PG","Animation","1","6.99"
"Vietnam","PG","Travel","1","6.99"
"Bolivia","R","New","1","6.99"
"Pakistan","NC-17","Sports","2","6.98"
"Faroe Islands","NC-17","Documentary","1","7.99"
"Kazakstan","PG-13","Comedy","1","2.99"
"Nauru","R","Games","1","2.99"
"Brunei","G","Comedy","1","2.99"
"South Africa","NC-17","Children","5","10.95"
"South Korea","R","Travel","1","4.99"
"Venezuela","NC-17","Classics","1","2.99"
"Brazil","G","Children","5","23.95"
"Nigeria","NC-17","Foreign","2","9.98"
"South Korea","PG","Horror","1","7.99"
"Romania","R","Sci-Fi","2","6.98"
"Mexico","PG-13","Horror","8","31.92"
"Colombia","PG-13","Foreign","2","15.98"
"Cambodia","G","Sports","1","0.99"
"Argentina","PG","Family","12","34.89"
"South Korea","PG","Games","1","4.99"
"Netherlands","G","Classics","1","2.99"
"India","NC-17","Animation","20","78.80"
"Poland","G","Foreign","3","8.97"
"Pakistan","PG","Foreign","4","18.96"
"Venezuela","R","Games","1","2.99"
"United States","PG","Documentary","14","59.86"
"Virgin Islands, U.S.","PG","Documentary","2","1.98"
"Yemen","PG-13","Sci-Fi","1","7.99"
"Venezuela","NC-17","Travel","3","14.97"
"Nigeria","G","Foreign","6","22.94"
"Iran","NC-17","New","2","1.98"
"Afghanistan","R","Children","1","0.99"
"Morocco","PG-13","Animation","2","5.98"
"Russian Federation","NC-17","Music","17","89.83"
"South Korea","PG-13","New","4","14.96"
"South Africa","PG","Travel","2","9.98"
"Colombia","NC-17","Drama","4","23.96"
"Mexico","NC-17","Documentary","6","27.94"
"Congo, The Democratic Republic of the","R","Action","1","5.99"
"Yemen","PG-13","Classics","1","2.99"
"Latvia","PG-13","Sci-Fi","1","2.99"
"Germany","PG-13","Sci-Fi","3","17.97"
"Argentina","R","Games","6","30.94"
"Iran","NC-17","Music","4","23.96"
"Philippines","R","Music","7","18.93"
"Germany","PG","Horror","3","20.97"
"Yugoslavia","PG-13","Animation","4","13.96"
"Myanmar","R","Drama","2","6.98"
"South Africa","PG-13","Children","2","7.98"
"Bangladesh","G","Sports","1","1.99"
"Pakistan","PG-13","Classics","2","1.98"
"Cambodia","PG-13","Classics","1","0.99"
"South Africa","PG-13","Drama","3","9.97"
"Indonesia","NC-17","Comedy","4","22.96"
"Pakistan","NC-17","Documentary","3","8.97"
"Mexico","NC-17","Music","15","64.85"
"Yemen","PG-13","Foreign","1","8.99"
"Israel","G","Drama","2","7.98"
"Algeria","R","Sci-Fi","3","9.97"
"Russian Federation","G","Drama","10","49.90"
"Runion","R","Family","4","8.96"
"Hong Kong","R","Documentary","1","4.99"
"Slovakia","R","Travel","1","2.99"
"Colombia","PG-13","Horror","3","10.97"
"France","R","Horror","1","4.99"
"Venezuela","R","Classics","1","6.99"
"Turkmenistan","R","Foreign","1","4.99"
"South Korea","R","New","1","1.99"
"South Korea","PG","Classics","2","7.98"
"Switzerland","PG-13","Drama","3","9.97"
"Chad","PG","Drama","1","0.99"
"Brunei","G","Horror","1","4.99"
"Kenya","NC-17","Sports","1","4.99"
"Italy","R","New","3","10.97"
"Argentina","PG-13","Sci-Fi","7","32.93"
"Taiwan","G","Documentary","5","22.95"
"Venezuela","PG-13","Drama","1","6.99"
"Turkey","NC-17","Family","3","15.97"
"Canada","PG-13","Games","3","16.97"
"Kazakstan","R","Documentary","3","6.97"
"Venezuela","R","Comedy","3","14.97"
"Poland","R","Games","1","0.99"
"Virgin Islands, U.S.","PG-13","Action","1","0.99"
"Israel","PG-13","Horror","1","8.99"
"Brazil","PG","New","5","21.95"
"Iran","G","Classics","1","0.99"
"Pakistan","PG","Comedy","3","9.97"
"Taiwan","PG","Foreign","3","6.97"
"Pakistan","NC-17","Foreign","1","2.99"
"Chad","R","Drama","1","0.99"
"Egypt","R","Music","2","3.98"
"Angola","PG-13","Children","2","5.98"
"Pakistan","PG-13","Foreign","4","15.96"
"India","NC-17","Children","23","84.77"
"Madagascar","G","Games","1","2.99"
"Puerto Rico","PG","Music","1","9.99"
"Switzerland","PG-13","Family","2","3.98"
"Kenya","PG-13","Foreign","2","13.98"
"Ecuador","PG-13","Music","1","0.99"
"Greece","R","Games","3","15.97"
"Sri Lanka","G","Comedy","2","4.98"
"Yugoslavia","PG","Action","1","2.99"
"Romania","PG","Documentary","1","1.99"
"Tuvalu","PG-13","Sports","1","3.99"
"South Korea","PG","Travel","1","7.99"
"Zambia","G","Horror","1","4.99"
"Malaysia","PG","Animation","2","6.98"
"Sudan","NC-17","Action","1","0.99"
"United Arab Emirates","NC-17","Music","2","8.98"
"Dominican Republic","PG","Foreign","2","4.98"
"China","R","Classics","24","89.76"
"Tanzania","G","Horror","1","3.99"
"Virgin Islands, U.S.","R","Animation","1","0.99"
"United States","G","Sports","11","67.89"
"Anguilla","PG-13","Drama","2","9.98"
"Ukraine","G","Family","1","6.99"
"Kenya","R","Sports","2","9.98"
"Afghanistan","R","Comedy","1","4.99"
"Tanzania","PG-13","Comedy","2","12.98"
"Indonesia","PG","Classics","5","19.95"
"Angola","PG","Classics","2","5.98"
"Turkey","PG-13","Foreign","7","39.93"
"Switzerland","PG-13","Foreign","1","4.99"
"Canada","NC-17","New","1","4.99"
"Ukraine","G","Foreign","1","1.99"
"Venezuela","PG","Action","2","7.98"
"Colombia","PG","Travel","1","0.99"
"Austria","G","Sports","1","0.99"
"Italy","PG-13","Family","3","14.97"
"Mexico","R","Classics","7","40.93"
"Lithuania","PG","Children","1","0.99"
"Egypt","PG","Sci-Fi","6","29.94"
"Germany","PG-13","Drama","5","21.95"
"Chile","R","Music","1","6.99"
"Iran","PG-13","Horror","2","7.98"
"Italy","NC-17","Animation","3","14.97"
"Belarus","PG","Sports","1","4.99"
"Argentina","G","Foreign","2","1.98"
"Azerbaijan","R","Foreign","3","11.97"
"Turkmenistan","PG","Documentary","2","12.98"
"Russian Federation","PG-13","Children","10","51.90"
"Runion","R","Documentary","1","4.99"
"Greenland","NC-17","Drama","1","6.99"
"Bolivia","PG","Music","1","0.99"
"Myanmar","G","Horror","1","5.99"
"Slovakia","G","Horror","1","2.99"
"Turkey","G","Family","1","2.99"
"India","G","Travel","10","46.90"
"Cambodia","G","Action","2","2.98"
"Puerto Rico","R","Animation","1","2.99"
"France","PG","Animation","1","5.99"
"Venezuela","PG-13","Classics","1","4.99"
"Pakistan","NC-17","Games","1","5.99"
"Belarus","PG","Drama","1","5.99"
"Nigeria","NC-17","Sci-Fi","4","23.96"
"Thailand","G","Action","1","3.99"
"Brazil","R","Horror","8","34.92"
"Tanzania","PG-13","Games","2","7.98"
"Latvia","NC-17","New","1","4.99"
"Egypt","G","Horror","1","4.99"
"South Korea","PG-13","Comedy","1","2.99"
"Cambodia","NC-17","Sports","2","9.98"
"Saudi Arabia","PG","Music","3","8.97"
"Algeria","PG","Drama","1","2.99"
"Colombia","NC-17","Horror","2","6.98"
"Romania","G","Action","2","1.98"
"Algeria","G","Horror","1","5.99"
"Angola","PG-13","Comedy","2","12.98"
"Colombia","NC-17","Classics","1","5.99"
"Mexico","NC-17","Classics","6","21.94"
"Faroe Islands","NC-17","Games","1","0.99"
"South Africa","R","Sci-Fi","6","23.94"
"Egypt","PG-13","Games","2","7.98"
"Poland","R","Horror","2","15.98"
"Estonia","NC-17","Comedy","1","5.99"
"Bangladesh","PG","Horror","3","13.97"
"Latvia","PG","Classics","3","19.97"
"Hungary","R","Classics","1","3.99"
"Germany","R","Animation","1","2.99"
"Algeria","G","Games","1","0.99"
"Argentina","G","Games","1","0.99"
"India","G","Family","9","42.91"
"Sudan","PG-13","Children","1","8.99"
"Thailand","NC-17","Comedy","2","10.98"
"Algeria","G","Sci-Fi","2","7.98"
"United States","NC-17","Animation","13","62.87"
"Mexico","NC-17","Children","10","28.90"
"Taiwan","R","Sci-Fi","4","14.96"
"China","NC-17","Sci-Fi","15","59.85"
"Armenia","G","Drama","1","7.99"
"Algeria","R","New","2","4.98"
"Nigeria","NC-17","Animation","3","6.97"
"Thailand","NC-17","New","1","7.99"
"Zambia","G","Thriller","1","4.99"
